fullname,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Spacious Townhouse Walking Distance from Downtown,528617680,Paola,SECOND WARD,42.6459,-73.75828,entire home/apt,102.0,1,2025-01-23,0.22,2,40,1
Downtown Studio,233515764,Etem,SECOND WARD,42.64714,-73.75466,entire home/apt,65.0,142,2025-05-31,7.73,6,237,96
Great home in Albany,496990578,Brian,ELEVENTH WARD,42.66838,-73.77868,entire home/apt,116.0,83,2025-05-25,4.49,1,11,54
"*Huge, bright, private 2Bedroom*",130404008,Michael,THIRD WARD,42.65711,-73.75133,entire home/apt,91.0,2,2024-09-01,0.19,1,39,2
2 bed room Apartment,212885959,Osas,SECOND WARD,42.63976,-73.75705,entire home/apt,115.0,19,2025-03-04,1.18,1,68,10
Renovated Cozy 1920âs Apartment,31994990,Gonca,SEVENTH WARD,42.64478,-73.7764,entire home/apt,53.0,1,2024-09-30,0.12,2,125,1
Charming Bungalow in Albany!,52464523,Dashima,FIRST WARD,42.64081,-73.77463,entire home/apt,114.0,9,2025-04-18,0.51,1,220,6
"Bonjour, Bienvenue A Chez Pierre",553112010,Lynn,TWELFTH WARD,42.7149,-73.87649,private room,101.0,1,2024-10-26,0.13,1,268,1
The Tangerine Door,542733174,Rebecca,TWELFTH WARD,42.67908,-73.79505,entire home/apt,140.0,24,2025-05-11,1.46,1,121,14
Cozy 1-Bedroom Apt in Albany (Entire Apartment),360806709,Gloria,SEVENTH WARD,42.64149,-73.77925,entire home/apt,93.0,56,2025-03-21,5.44,1,0,56
Downtown Brownstone with a View!,14817455,Matt,THIRD WARD,42.65749,-73.75263,entire home/apt,184.0,0,2025-05-18,1.255,1,197,0
downtown,539608284,Joyhefsiba,THIRD WARD,42.66141,-73.76361,private room,46.0,0,2025-05-18,1.255,1,364,0
Historical Pastures,418250661,Stephanie,THIRD WARD,42.6564469,-73.7507251,entire home/apt,99.0,11,2025-05-11,0.74,1,334,6
Serene 1BR Escape: Walk to Eateries & Parks in ALB,472965048,Corey,SIXTH WARD,42.65348,-73.7637,entire home/apt,74.0,14,2025-04-03,0.98,2,159,11
1 bed 1 bath Apartment,477328400,Tyler,SEVENTH WARD,42.64885,-73.76523,entire home/apt,90.0,38,2025-03-30,2.84,2,168,30
Charming 1BR Near Capitol-Dwntwn,46312980,Robert,SECOND WARD,42.646032,-73.760482,entire home/apt,64.0,4,2025-02-17,0.32,2,196,3
"Modern 2 BR near MVP Arena, Colleges, Airport",440509865,John,FIFTEENTH WARD,42.674853495878494,-73.81692445092622,entire home/apt,153.0,48,2025-06-01,4.74,1,291,48
Cozy Bedrooms in Albany,522436003,Adriana,THIRTEENTH WARD,42.6689614,-73.7890379,private room,36.0,0,2025-05-18,1.255,3,210,0
Safe Comfy Cozy 2 bedrooms.,574235481,Lavern,FIRST WARD,42.64094,-73.7767,entire home/apt,93.0,4,2024-07-06,0.3,1,0,2
Bright & Clean Apartment â August Price Special!,129023424,Riccardo,THIRTEENTH WARD,42.67105,-73.7995,entire home/apt,72.0,6,2025-04-13,0.47,1,301,3
491 Washington Ave FL1Rare,575030103,Rehan,ELEVENTH WARD,42.66259,-73.7733,private room,55.0,20,2025-05-17,1.51,2,248,16
Albany historic Washington Park,576083630,Joseph,SIXTH WARD,42.6586049,-73.76803290000001,entire home/apt,95.0,11,2025-03-30,0.84,1,256,10
/An Oasis 8 ppl Yard Grill W/D\,580892646,Crystal,SECOND WARD,42.64349,-73.75906,entire home/apt,292.0,2,2024-07-31,0.17,2,12,2
Empire Plaza Apartment,29483818,Ben,SIXTH WARD,42.65327,-73.76181,entire home/apt,85.0,130,2025-06-06,11.34,1,86,130
"Room in Albany, 4 minutes from AMC",32379616,Fabiola,TENTH WARD,42.6605291,-73.7831549,private room,33.0,0,2025-05-18,1.255,5,363,0
Privateroom with shared bathroom for Nurses&grads,382446799,Elizabeth,NINTH WARD,42.65542,-73.78155,private room,42.0,6,2025-03-31,0.6,1,249,6
Charming Home,147780154,Julia,EIGHTH WARD,42.65812,-73.81912,entire home/apt,199.0,0,2025-05-18,1.255,1,358,0
/Audubon Apartment\ 3bed 1bath built1928 Pine Hill,52123673,Joseph,THIRTEENTH WARD,42.66955,-73.78542,entire home/apt,158.0,7,2025-05-16,0.77,1,345,7
It's Like a Treehouse,562084689,Antonio,TENTH WARD,42.66104,-73.77971,entire home/apt,150.0,14,2025-05-10,1.47,2,159,14
